refDes,temperature,salinity,conductivity,density,oxygen,sea_water_pressure,nitrate,chlorophyll,par,pco2,ph,spectral_irradiance_412nm,spectral_irradiance_443nm,spectral_irradiance_490nm,spectral_irradiance_510nm,spectral_irradiance_555nm,spectral_irradiance_620nm,spectral_irradiance_683nm,velocity_east,velocity_north,velocity_up,percent_good_beam,echo_intensity,correlation_magnitude,error_seawater_velocity,resistivity,cdom,backscatter,vent_temperature,seafloor_pressure,seawater_pressure_mbar,bottom_pressure_psi,mean_seafloor_depth,seafloor_uplift_10m,seafloor_uplift_5m,seafloor_uplift_predicted_tide,dark_counts,ratios
RS01SLBS-LJ01A-10-ADCPTE101,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.3,0.3]}","{'local_profile':[-0.3,0.3]}","{'local_profile':[-0.08,0.08]}","{'local_profile':[0,100]}","{'local_profile':[10,80]}","{'local_profile':[0,255]}","{'local_profile':[-0.1,0.1]}",,,,,,,,,,,,,
RS01SUM2-MJ01B-12-ADCPSK101,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}","{'local_profile':[0,100]}","{'local_profile':[10,80]}","{'local_profile':[0,255]}","{'local_profile':[-0.1,0.1]}",,,,,,,,,,,,,
CE04OSBP-LJ01C-05-ADCPSI103,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}","{'local_profile':[0,100]}","{'local_profile':[10,80]}","{'local_profile':[0,255]}","{'local_profile':[-0.1,0.1]}",,,,,,,,,,,,,
CE02SHBP-LJ01D-05-ADCPTB104,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}","{'local_profile':[0,100]}","{'local_profile':[30,80]}","{'local_profile':[0,255]}","{'local_profile':[-0.1,0.1]}",,,,,,,,,,,,,
RS03AXBS-LJ03A-10-ADCPTE303,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}","{'local_profile':[0,100]}","{'local_profile':[10,80]}","{'local_profile':[0,255]}","{'local_profile':[-0.1,0.1]}",,,,,,,,,,,,,
RS03AXPS-PC03A-05-ADCPTD302,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}","{'local_profile':[0,100]}","{'local_profile':[30,80]}","{'local_profile':[0,255]}","{'local_profile':[-0.1,0.1]}",,,,,,,,,,,,,
RS01SBPS-PC01A-05-ADCPTD102,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}","{'local_profile':[0,100]}","{'local_profile':[40,80]}","{'local_profile':[0,255]}","{'local_profile':[-0.1,0.1]}",,,,,,,,,,,,,
RS03AXPS-PC03A-06-VADCPB301,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}","{'local_profile':[0,100]}","{'local_profile':[10,80]}","{'local_profile':[0,255]}","{'local_profile':[-0.1,0.1]}",,,,,,,,,,,,,
RS01SBPS-PC01A-06-VADCPB101,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}","{'local_profile':[0,100]}","{'local_profile':[10,80]}","{'local_profile':[0,255]}","{'local_profile':[-0.1,0.1]}",,,,,,,,,,,,,
RS03INT1-MJ03C-07-D1000A301,"{'local':[0,10]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
