refDes,instrument,zarrFile,nearestNeighbors,dataParameters,depths,depthMinMax,harvestInterval,decimationAlgo
RS03AXPS-SF03A-4B-VELPTD302,VELPT-PROFILER,RS03AXPS-SF03A-4B-VELPTD302-streamed-velpt_velocity_data,None,"""time,velpt_d_eastward_velocity,velpt_d_northward_velocity,velpt_d_upward_velocity,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",1,lttb
RS01SLBS-LJ01A-10-ADCPTE101,ADCP-PROFILER,RS01SLBS-LJ01A-10-ADCPTE101-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""2550,2924""",1,coarsen
RS01SUM2-MJ01B-12-ADCPSK101,ADCP-PROFILER,RS01SUM2-MJ01B-12-ADCPSK101-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""0,811""",1,coarsen
CE04OSBP-LJ01C-05-ADCPSI103,ADCP-PROFILER,CE04OSBP-LJ01C-05-ADCPSI103-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""0,581""",1,coarsen
CE02SHBP-LJ01D-05-ADCPTB104,ADCP-PROFILER,CE02SHBP-LJ01D-05-ADCPTB104-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""0,83""",1,coarsen
RS03AXBS-LJ03A-10-ADCPTE303,ADCP-PROFILER,RS03AXBS-LJ03A-10-ADCPTE303-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""2200,2600""",1,coarsen
RS03AXPS-PC03A-05-ADCPTD302,ADCP-PROFILER,RS03AXPS-PC03A-05-ADCPTD302-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""0,200""",1,coarsen
RS01SBPS-PC01A-05-ADCPTD102,ADCP-PROFILER,RS01SBPS-PC01A-05-ADCPTD102-streamed-adcp_velocity_beam,None,"""time,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,bin_depths,percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,error_seawater_velocity""","""010,025,050,075,100,125,150,175""","""0,200""",1,coarsen
RS03INT1-MJ03C-07-D1000A301,D1000-FIXED,RS03INT1-MJ03C-07-D1000A301-streamed-d1000_sample,None,"""time,temperature1,temperature2,temperature3""",Single,None,1,lttb
RS03INT1-MJ03C-10-TRHPHA301,TRHPH-FIXED,RS03INT1-MJ03C-10-TRHPHA301-streamed-trhph_sample,None,"""time,resistivity_5,resistivity_x1,resistivity_x5,,vent_fluid_temperature""",Single,None,1,lttb
RS03INT1-MJ03C-09-TRHPHA302,TRHPH-FIXED,RS03INT1-MJ03C-09-TRHPHA302-streamed-trhph_sample,None,"""time,resistivity_5,resistivity_x1,resistivity_x5,vent_fluid_temperature""",Single,None,1,lttb
RS03AXBS-MJ03A-06-PRESTA301,PRESTA-FIXED,RS03AXBS-MJ03A-06-PRESTA301-streamed-prest_real_time,None,"""seafloor_pressure,pressure_temp""",Single,None,1,lttb
RS01SLBS-MJ01A-06-PRESTA101,PRESTA-FIXED,RS01SLBS-MJ01A-06-PRESTA101-streamed-prest_real_time,None,"""seafloor_pressure,pressure_temp""",Single,None,1,lttb
RS03AXBS-LJ03A-05-HPIESA301,HPIES-FIXED,RS03AXBS-LJ03A-05-HPIESA301-streamed-echo_sounding,None,"""hpies_pressure_L1,hpies_temperature""",Single,None,1,lttb
RS01SLBS-LJ01A-05-HPIESA101,HPIES-FIXED,RS01SLBS-LJ01A-05-HPIESA101-streamed-echo_sounding,None,"""hpies_pressure_L1,hpies_temperature""",Single,None,1,lttb
RS03ASHS-MJ03B-07-TMPSFA301,TMPSF-FIXED,RS03ASHS-MJ03B-07-TMPSFA301-streamed-tmpsf_sample,None,"""temperature01,temperature02,temperature03,temperature04,temperature05,temperature06,temperature07,temperature08,temperature09,temperature10,temperature11,temperature12,temperature13,temperature14,temperature15,temperature16,temperature17,temperature18,temperature19,temperature20,temperature21,temperature22,temperature23,temperature24""",Single,None,1,lttb
RS01SLBS-MJ01A-12-VEL3DB101,VEL3D-FIXED,RS01SLBS-MJ01A-12-VEL3DB101-streamed-vel3d_b_sample,None,"""eastward_turbulent_velocity,northward_turbulent_velocity,upward_turbulent_velocity""",Single,None,1,lttb
RS01SUM1-LJ01B-12-VEL3DB104,VEL3D-FIXED,RS01SUM1-LJ01B-12-VEL3DB104-streamed-vel3d_b_sample,None,"""eastward_turbulent_velocity,northward_turbulent_velocity,upward_turbulent_velocity""",Single,None,1,lttb
RS03AXBS-MJ03A-12-VEL3DB301,VEL3D-FIXED,RS03AXBS-MJ03A-12-VEL3DB301-streamed-vel3d_b_sample,None,"""eastward_turbulent_velocity,northward_turbulent_velocity,upward_turbulent_velocity""",Single,None,1,lttb
RS03INT2-MJ03D-12-VEL3DB304,VEL3D-FIXED,RS03INT2-MJ03D-12-VEL3DB304-streamed-vel3d_b_sample,None,"""eastward_turbulent_velocity,northward_turbulent_velocity,upward_turbulent_velocity""",Single,None,1,lttb
